X,Y,Number,Name,Latitude,Longitude,District,Public_,Total_docks,ObjectId
-7915302.70685448,5208578.30334551,D32041,Stony Brook T Stop,42.316966,-71.104374,Boston,Yes,19,153
-7911745.6862221,5213484.10949173,D32049,Stuart St at Berkeley St,42.34954403,-71.07242074,Boston,Yes,19,154
-7911063.10404762,5213725.40985323,D32011,Stuart St at Charles St,42.351146,-71.066289,Boston,Yes,17,155
-7912049.34464228,5218743.63463936,D32053,Sullivan Square,42.38445226,-71.07514855,Boston,Yes,19,156
-7903466.60410975,5222343.97567521,R32001,Sumner St at Shirley Ave,42.40833706,-70.99804848,Revere,Yes,11,157
-7909490.60492067,5214781.22868693,A32013,Surface Rd at India St,42.358155,-71.052163,Boston,Yes,19,158
-7909980.52311285,5213996.50107969,A32042,Surface Rd at Summer St,42.3529457,-71.05656401,Boston,Yes,27,159
-7910187.38144342,5222972.30815936,V32007,Swan St. Park,42.41250451,-71.05842225,Everett,Yes,15,160
-7909645.45923793,5209094.35455789,C32064,Sydney St at Carson St,42.32039374,-71.05355408,Boston,Yes,19,161
-7913380.99848492,5205209.24630657,C32043,Talbot Ave At Blue Hill Ave,42.2945833,-71.087111,Boston,Yes,15,162
-7917808.46517764,5210747.06113941,K32008,Tappan St at Brookline Hills MBTA,42.33137017,-71.12688361,Brookline,Yes,15,163
-7917699.85297686,5221219.69270967,S32011,Teele Square,42.4008795,-71.12590793,Somerville,Yes,15,164
-7914414.96063208,5208931.10708011,E32011,The Dimock Center,42.31930943,-71.09639924,Boston,Yes,16,165
-7908604.27913498,5216677.90100739,A32033,The Eddy - New St at Sumner St,42.370744,-71.044201,Boston,Yes,15,166
-7908584.57558511,5212768.36037951,C32028,The Lawn on D,42.344792,-71.044024,Boston,Yes,19,167
-7919880.62517859,5213069.30390479,D32054,The Overlook at St. Gabriel's,42.34679008,-71.14549814,Boston,Yes,19,168
-7912525.87666568,5203949.64397858,C32049,Thetford Ave at Norfolk St,42.28621295,-71.07942931,Boston,Yes,0,169
-7912897.91864906,5215879.48053839,M32048,Third at Binney,42.36544486,-71.08277142,Cambridge,Yes,15,170
-7919777.2639182,5221112.44328174,L32005,Thorndike Field at Minuteman Bikeway,42.40016805,-71.14456963,Arlington,Yes,11,171
-7911433.46399349,5212858.72918725,C32000,Tremont St at E Berkeley St,42.345392,-71.069616,Boston,Yes,19,172
-7910548.52524865,5214559.5331183,B32056,Tremont St at Hamilton Pl,42.35668335,-71.06166646,Boston,Yes,19,173
-7912777.59118507,5211810.47391603,C32056,Tremont St at Northampton St,42.3384318,-71.0816905,Boston,Yes,19,174
-7911945.36555871,5212430.56037671,C32060,Tremont St at W. Dedham St,42.34254914,-71.07421449,Boston,Yes,15,175
-7910735.7134252,5214302.7891272,D32014,Tremont St at West St,42.354979,-71.063348,Boston,Yes,15,176
-7910614.15254125,5212611.27132139,C32035,Troy Boston,42.343749,-71.062256,Boston,Yes,14,177
-7915497.96124133,5221342.93042923,F32003,Tufts Sq - Main St at Medford St,42.401697,-71.106128,Medford,Yes,11,178
-7918969.45956172,5214054.99224794,A32001,Union Square - Brighton Ave at Cambridge St,42.353334,-71.137313,Boston,Yes,19,179
-7914304.25562488,5218019.60170897,S32002,Union Square - Somerville,42.3796479,-71.09540476,Somerville,Yes,19,180
-7913713.50980392,5218084.41694264,S32041,Union Square East,42.380078,-71.090098,Somerville,Yes,19,181
-7925243.39489337,5210475.79338629,N32004,Union St at Herrick Rd ? Newton Centre Green Line,42.32956868,-71.19367272,Newton,Yes,11,182
-7907745.43367878,5207859.19306701,C32014,University of Massachusetts Boston - Campus Center,42.31218918,-71.03648586,Boston,Yes,19,183
-7914822.57921152,5215458.07366131,M32040,University Park,42.36264779,-71.10006094,Cambridge,Yes,19,184
-7910960.80588836,5208624.78344693,C32019,Uphams Corner,42.31727474,-71.06537004,Boston,Yes,0,185
-7911451.88514282,5208838.95557199,B32025,Uphams Corner T Stop - Magnolia St at Dudley St,42.31869734,-71.06978148,Boston,Yes,0,186
-7910290.5501211,5215773.13231582,A32053,Valenti Way at Haverhill St,42.36473899,-71.05934903,Boston,Yes,24,187
-7919018.85313298,5218881.59322171,M32057,Vassal Lane at Tobin/VLUS,42.38536765,-71.13775671,Cambridge,Yes,19,188
-7916268.91105399,5216943.79545514,M32050,Verizon Innovation Hub 10 Ware Street,42.37250865,-71.11305356,Cambridge,Yes,19,189
-7909410.4771512,5211912.38462239,C32029,W Broadway at D St,42.3391085,-71.0514432,Boston,Yes,23,190
-7908830.0350623,5211438.0776959,C32016,W Broadway at Dorchester St,42.33595898,-71.046229,Boston,Yes,17,191
-7914389.3359985,5207894.54047211,C32102,Walnut Ave at School St,42.31242399,-71.09616905,Boston,Yes,19,192
-7912949.5241386,5209649.50826798,B32030,Walnut Ave at Warren St,42.324081,-71.083235,Boston,Yes,0,193
-7910395.52106133,5216844.24896675,D32021,Warren St at Chelsea St,42.371848,-71.060292,Boston,Yes,23,194
-7910788.12041507,5222493.68944542,V32010,Wasgott Playground,42.40933007,-71.06381878,Everett,Yes,15,195
-7918624.22553812,5212025.30091766,K32011,Washington Sq,42.33985827,-71.13421171,Brookline,Yes,15,196
-7911861.23362715,5205898.78595839,C32042,Washington St at Bowdoin St,42.29916498,-71.07345872,Boston,Yes,0,197
-7921530.22752444,5213395.06321801,D32029,Washington St at Brock St,42.34895285,-71.16031677,Boston,Yes,15,198
-7925885.07940013,5214138.78151372,N32001,Washington St at Crafts St,42.35389024,-71.19943707,Newton,Yes,11,199
-7918627.10426015,5203124.36102787,C32081,Washington St at Denton Terr,42.28072815,-71.13423757,Boston,Yes,0,200
-7919410.88698371,5212478.63626612,A32037,Washington St at Egremont Rd,42.34286835,-71.14127841,Boston,Yes,0,201
