,Unnamed: 0,electricity-kWh,startDay,endDay,RH-%,T-C,Tdew-C,pressure-mbar,solarRadiation-W/m2,windDirection,windSpeed-m/s,humidityRatio-kg/kg,coolingDegrees,heatingDegrees,dehumidification,occupancy
86,2012-03-30,6699.53476873785,2012-03-30,2012-03-31,40.4583333333333,5.91666666666667,-7.20416666666667,1006.95833333333,265.75,279.166666666667,5.05787441666667,0.00222221010618609,0.0,9.08333333333333,0.0,1.0
87,2012-04-02,6860.24999870732,2012-04-02,2012-04-03,61.625,6.20833333333333,-1.89583333333333,996.625,216.333333333333,255.0,5.54398591666667,0.00352585493053797,0.0,8.79166666666667,0.0,1.0
88,2012-04-03,7042.89896252006,2012-04-03,2012-04-04,23.0,8.58333333333333,-10.9,999.416666666667,277.125,325.833333333333,5.55556,0.00151317021922679,0.458333333333333,6.41666666666667,0.0,1.0
89,2012-04-04,6849.20257163513,2012-04-04,2012-04-05,29.375,11.4583333333333,-6.70416666666667,993.416666666667,272.5,308.333333333333,5.30093016666667,0.0023894601331002,1.33333333333333,3.875,0.0,1.0
90,2012-04-05,6867.3285360178,2012-04-05,2012-04-06,44.3333333333333,7.08333333333333,-4.70833333333333,999.833333333333,265.625,320.416666666667,5.63657858333333,0.00272441635246061,0.0,7.91666666666667,0.0,1.0
91,2012-04-07,5257.0491522504,2012-04-07,2012-04-08,41.875,6.25,-6.0,1006.375,238.125,206.666666666667,3.71528075,0.00246505813296951,0.0,8.75,0.0,0.5
92,,,,,,,,,,,,,,,,
93,2012-04-10,6648.98964187596,2012-04-10,2012-04-11,33.4583333333333,12.2,-4.1125,995.25,214.375,234.583333333333,4.59491108333333,0.00286393936131887,1.45833333333333,3.09166666666667,0.0,1.0
94,2012-04-11,6977.85165705066,2012-04-11,2012-04-12,54.75,9.25,0.2,1000.79166666667,258.333333333333,198.75,4.29398491666667,0.00394965136056124,0.0,5.75,0.0,1.0
95,2012-04-12,6926.28618926229,2012-04-12,2012-04-13,70.4583333333333,8.16666666666667,2.9,1006.08333333333,223.0,256.666666666667,3.98148466666667,0.00471229591069538,0.0416666666666667,6.83333333333333,0.0,1.0
96,2012-04-13,6378.41400856618,2012-04-13,2012-04-14,43.75,11.8333333333333,-2.15,1009.83333333333,289.041666666667,312.5,3.55324358333333,0.00331402602232944,2.0,3.75,0.0,1.0
97,,,,,,,,,,,,,,,,
98,2012-04-15,5377.87787339231,2012-04-15,2012-04-16,50.4166666666667,18.875,8.08333333333333,1005.625,236.833333333333,229.166666666667,4.42129983333333,0.00685911123765456,6.875,0.25,0.0,0.5
99,2012-04-17,7072.60703373328,2012-04-17,2012-04-18,38.9583333333333,22.125,3.6875,1006.66666666667,293.75,274.583333333333,5.01157808333333,0.005469871764843,10.125,0.0833333333333333,1.79637162619094e-05,1.0
100,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,
