pixelPlant,pixelPole,pixelLake,pixelRoad,pixelGrass,pixelWall,pixelCar,propertiesAsses,pixelSea,numCraigslistHouse,pixelRiver,pixelBus,pixelCeiling,pixelPath,pixelBuilding,crime,pixelFence,walkSchool,walkMbta,energySiteEUI,pixelPerson,pixelTree,pixelVan,walkPark,walkUniversity,pixelSidewalk,pixelGround,pixelMountain,pixelPalmTree,pixelHouse,pixelBridge,pixelSign,pixelRailing,pixelField,pixelWindow,pixelGrandstand,numCraigslistRoom,pixelSky,Latitude,Longitude,Address,Zip,RoomType,Bathrooms,SQFT,SQM,Price
0,0,89.47,3.715,0,0.743,0,269677724,0,0,0,0,0,0,0,30,0,32,11,532.1,0,0,0.085,46,22,1.04,0,0,0,1.331,0,0.327,0,0,0,0,0,0,42.357246,-71.06,45 Province St #2105 Boston 02108,2108,3,2.5,1998,185.620194,11750
0,0.004,34.12,0.217,0,4.409,22.56,173725104,0,0,0,0,0,0,0,14,0,31,6,145,22.56,0,0,34,18,1.013,0,0,0.175,2.47,0,0.068,0.078,0.952,0,0,0,27.81,42.356293,-71.06971,69 Beacon St #5 Boston 02108,2108,2,2,,0,5200
0,0.005,11.29,5.07,0,0,0.298,84790141,0,0,0,0.661,0,0.09,0,0,0,33,8,0,0.298,17.96,0,43,20,0.093,0,0,0,2.768,0,0.201,0,0.44,0,0,0,49.75,42.356823,-71.067986,52 Beacon St #6 Boston 02108,2108,2,2.5,2000,185.806,6500
0,0.004,34.12,0.217,0,4.409,22.56,173725104,0,0,0,0,0,0,0,14,0,31,6,145,22.56,0,0,34,18,1.013,0,0,0.175,2.47,0,0.068,0.078,0.952,0,0,0,27.81,42.35761,-71.0698,Beacon Hill Boston 02108,2108,2,1,,0,2900
0,0,0,0,0,0,0,243090896,0,0,0,0,0,0,0,19,0,35,9,263.7,0,0,0,53,24,0,0,0,0,0,0,0,0,0,0,0,0,0,42.3554,-71.06151,3 Winter Pl Boston 02108,2108,2,2.5,,0,8500
0,0.13,15.27,6.221,0,1.542,10.08,25811490,0,1,0,0,0,0.386,1.626,11,0,10,2,245.7,10.08,2.28,0,14,0,1.019,0,0,0.238,2.501,0,0.902,0.025,0.163,0,0,0,39.45,42.312897,-71.097374,26 School St #2 Boston 02108,2108,2,1,1000,92.903,2300
0,0,0,0,0,0,0,10704800,0,0,0,0,0,0,0,5,0,7,0,260.9,0,0,0,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42.252857,-71.11705,21 Beacon St #5I Boston 02108,2108,1,1,575,53.419225,2950
0,0.035,50.87,1.745,0,0.514,2.51,258957439,0,0,0,0,0,0,0,14,0,22,6,0,2.51,4.223,0,38,14,2.564,0,0,0.116,1.925,0,0.04,1.297,0,0,0,0,23.75,42.358036,-71.069695,99 Mount Vernon St Boston 02108,2108,2,2,900,83.6127,3200
0,0.004,34.12,0.217,0,4.409,22.56,173725104,0,0,0,0,0,0,0,14,0,31,6,145,22.56,0,0,34,18,1.013,0,0,0.175,2.47,0,0.068,0.078,0.952,0,0,0,27.81,42.356266,-71.070145,71 Beacon St #I 5R Boston 02108,2108,2,2,,0,5200
0,0,60.99,2.671,0,2.116,6.639,142585895,0,0,0,0,0,0,0,4,0,32,10,0,6.639,1.739,0.053,51,20,4.167,0,0,0.099,0.349,0,0.096,0,0,0,0,0,18.16,42.358242,-71.06506,20 Mount Vernon St #403 Boston 02108,2108,,1,,0,1800
