,Latitude,Longitude,crime,Bathrooms,SQFT,Price,energySiteEUI
6960,42.35281,-71.13725,2,3.0,2100,4500.0,158.7
6961,42.350044,-71.1363,4,3.0,,4600.0,80.0
6962,42.350044,-71.1363,4,2.0,2000,4250.0,80.0
6968,42.359276,-71.12969,7,1.0,,2800.0,100.3
6969,42.359135,-71.12584,5,1.0,,1900.0,605.7
6970,42.34704,-71.13673,10,1.0,,1750.0,58.6
6974,42.349304,-71.136765,4,3.0,2500,4475.0,80.0
6979,42.358013,-71.12882,7,1.0,,2700.0,100.3
6982,42.36079,-71.06709,5,1.0,,2300.0,296.2
6985,42.34745,-71.133125,2,1.0,725,2625.0,26.8
6987,42.34745,-71.133125,2,1.0,681,2625.0,26.8
7017,42.359203,-71.12564,5,1.0,,1400.0,605.7
7021,42.353863,-71.13849,5,1.5,,2300.0,141.5
7022,42.347034,-71.13388,5,1.0,,1750.0,176.3
7029,42.36214,-71.1298,1,2.0,1010,4110.0,100.3
7034,42.350597,-71.140915,4,1.0,501,2226.0,95.9
7035,42.350597,-71.140915,4,1.0,719,2368.0,95.9
7041,42.339096,-71.15534,0,1.0,600,2100.0,83.8
7042,42.339096,-71.15534,0,1.0,860,2700.0,83.8
7044,42.35225,-71.057434,19,1.0,752,3000.0,300.1
7045,42.35225,-71.057434,19,1.0,975,3900.0,300.1
7048,42.347984,-71.15168,27,2.5,,4000.0,54.9
7052,42.339653,-71.15328,2,1.0,710,1900.0,144.1
7055,42.3437,-71.14368,8,1.0,350,1575.0,276.4
7058,42.339993,-71.1536,2,1.0,805,1900.0,144.1
7059,42.326202,-71.0829,13,1.0,,2100.0,51.2
7063,42.339146,-71.15194,4,1.0,,1800.0,42.4
7066,42.342052,-71.14265,8,1.0,,2000.0,276.4
7067,42.3415,-71.1496,8,1.5,975,2700.0,162.5
7069,42.35666,-71.15752,3,1.0,,1800.0,307.3
7071,42.338573,-71.1499,4,1.0,896,2500.0,42.4
7073,42.342552,-71.14492,3,1.5,1300,3300.0,30.1
7075,42.346527,-71.13794,10,1.0,1000,2300.0,58.6
7077,42.3412,-71.14733,4,1.0,,1800.0,166.8
7078,42.342133,-71.142845,8,1.0,680,2000.0,276.4
7079,42.342552,-71.14492,3,1.5,1300,3300.0,30.1
7080,42.339245,-71.15048,4,1.0,,1800.0,42.4
7081,42.350304,-71.16062,3,1.0,750,1600.0,87.7
